year,variable,tech,carrier,sample,value
2050,final_energy_MWh,biomass,biomass,101,5.22592e+08
2050,final_energy_MWh,biomass,biomass,102,3.64783e+08
2050,final_energy_MWh,biomass,biomass,103,3.89363e+08
2050,final_energy_MWh,biomass,biomass,104,5.08123e+08
2050,final_energy_MWh,biomass,biomass,105,3.77248e+08
2050,final_energy_MWh,biomass,biomass,106,4.54333e+08
2050,final_energy_MWh,biomass,biomass,107,4.42036e+08
2050,final_energy_MWh,biomass,biomass,108,4.55181e+08
2050,final_energy_MWh,biomass,biomass,109,4.13147e+08
2050,final_energy_MWh,biomass,biomass,110,3.47407e+08
2050,final_energy_MWh,biomass,biomass,111,4.0075e+08
2050,final_energy_MWh,biomass,biomass,112,4.59564e+08
2050,final_energy_MWh,biomass,biomass,113,4.52221e+08
2050,final_energy_MWh,biomass,biomass,114,3.90986e+08
2050,final_energy_MWh,biomass,biomass,115,4.46797e+08
2050,final_energy_MWh,biomass,biomass,116,4.4375e+08
2050,final_energy_MWh,biomass,biomass,117,3.85689e+08
2050,final_energy_MWh,biomass,biomass,118,5.00297e+08
2050,final_energy_MWh,biomass,biomass,119,4.44042e+08
2050,final_energy_MWh,biomass,biomass,120,3.52173e+08
2050,final_energy_MWh,biomass,biomass,121,4.17604e+08
2050,final_energy_MWh,biomass,biomass,122,4.79686e+08
2050,final_energy_MWh,biomass,biomass,123,3.65026e+08
2050,final_energy_MWh,biomass,biomass,124,5.07123e+08
2050,final_energy_MWh,biomass,biomass,125,4.20616e+08
2050,final_energy_MWh,biomass,biomass,126,4.1972e+08
2050,final_energy_MWh,biomass,biomass,127,3.73066e+08
2050,final_energy_MWh,biomass,biomass,128,4.96217e+08
2050,final_energy_MWh,biomass,biomass,129,4.52285e+08
2050,final_energy_MWh,biomass,biomass,130,4.81971e+08
2050,final_energy_MWh,biomass,biomass,131,3.25607e+08
2050,final_energy_MWh,biomass,biomass,132,4.55023e+08
2050,final_energy_MWh,biomass,biomass,133,3.9618e+08
2050,final_energy_MWh,biomass,biomass,134,4.44357e+08
2050,final_energy_MWh,biomass,biomass,135,2.978e+08
2050,final_energy_MWh,biomass,biomass,136,3.78573e+08
2050,final_energy_MWh,biomass,biomass,137,3.80082e+08
2050,final_energy_MWh,biomass,biomass,138,3.85846e+08
2050,final_energy_MWh,biomass,biomass,139,4.41515e+08
2050,final_energy_MWh,biomass,biomass,140,4.19291e+08
2050,final_energy_MWh,biomass,biomass,141,4.82318e+08
2050,final_energy_MWh,biomass,biomass,142,3.67317e+08
2050,final_energy_MWh,biomass,biomass,143,3.89249e+08
2050,final_energy_MWh,biomass,biomass,144,3.3353e+08
2050,final_energy_MWh,biomass,biomass,145,4.62326e+08
2050,final_energy_MWh,biomass,biomass,146,4.17498e+08
2050,final_energy_MWh,biomass,biomass,147,3.83134e+08
