country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
LT,total_elec,2050,3.73,1.04,20,10.1,10.0,0.8,3
LT,hp_elec,2025,0.43,0.0,0,0.0,0.0,0.0,0
LT,hp_elec,2030,0.69,0.0,0,0.0,0.0,0.0,0
LT,hp_elec,2040,1.2,0.0,0,0.0,0.0,0.0,0
LT,hp_elec,2050,1.22,0.0,0,0.0,0.0,0.0,0
LT,thermal,2025,7.51,2.58,97,90.2,35.0,0.0,0
LT,thermal,2030,7.82,2.89,140,116.1,40.0,0.0,0
LT,thermal,2040,7.74,2.81,115,108.2,38.0,0.0,0
LT,thermal,2050,6.78,1.85,54,50.3,27.0,0.0,0
LU,total_elec,2025,1.05,0.0,0,0.0,0.0,0.0,0
LU,total_elec,2030,1.36,0.0,0,0.0,0.0,0.0,0
LU,total_elec,2040,1.61,0.08,12,0.5,7.0,0.3,3
LU,total_elec,2050,2.02,0.55,242,43.7,79.0,0.1,3
LU,hp_elec,2025,0.1,0.0,0,0.0,0.0,0.0,0
LU,hp_elec,2030,0.36,0.0,0,0.0,0.0,0.0,0
LU,hp_elec,2040,0.48,0.0,0,0.0,0.0,0.0,0
LU,hp_elec,2050,0.78,0.0,0,0.0,0.0,0.0,0
LU,thermal,2025,2.97,1.05,103,38.3,37.0,0.0,0
LU,thermal,2030,3.28,1.36,371,85.5,63.0,0.0,0
LU,thermal,2040,3.96,2.04,1104,370.7,182.0,0.0,0
LU,thermal,2050,4.64,2.72,2002,941.5,346.0,0.0,0
LV,total_elec,2025,1.23,0.0,0,0.0,0.0,0.0,0
LV,total_elec,2030,1.64,0.0,0,0.0,0.0,0.0,0
LV,total_elec,2040,2.6,0.0,0,0.0,0.0,0.0,0
LV,total_elec,2050,2.99,0.0,0,0.0,0.0,0.0,0
LV,hp_elec,2025,0.13,0.0,0,0.0,0.0,0.0,0
LV,hp_elec,2030,0.48,0.0,0,0.0,0.0,0.0,0
LV,hp_elec,2040,1.32,0.0,0,0.0,0.0,0.0,0
LV,hp_elec,2050,1.56,0.0,0,0.0,0.0,0.0,0
LV,thermal,2025,9.07,3.11,97,108.0,35.0,0.0,0
LV,thermal,2030,8.85,2.89,60,93.0,32.0,0.0,0
LV,thermal,2040,8.59,2.63,60,79.6,30.0,0.0,0
LV,thermal,2050,8.58,2.62,60,79.3,30.0,0.0,0
MT,total_elec,2025,0.62,0.0,0,0.0,0.0,0.0,0
MT,total_elec,2030,0.66,0.0,0,0.0,0.0,0.0,0
MT,total_elec,2040,0.69,0.0,0,0.0,0.0,0.0,0
MT,total_elec,2050,0.72,0.0,0,0.0,0.0,0.0,0
MT,hp_elec,2025,0.2,0.0,0,0.0,0.0,0.0,0
MT,hp_elec,2030,0.18,0.0,0,0.0,0.0,0.0,0
MT,hp_elec,2040,0.14,0.0,0,0.0,0.0,0.0,0
