country,year,tech,carrier,share,useful_heat_MWh,final_energy_MWh,co2_tCO2,variant,mode
DK,2025,hp_ground,electricity,0.01,516679.6242126611,147791.65452307242,19212.915087999412,COST_OPT_75,trajectory
DK,2025,district_heat,district_heat,0.655,33842515.3859293,35623700.40624137,1603066.5182808617,COST_OPT_75,trajectory
DK,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2030,gas_boiler,gas,0.039789759,2048382.2350727706,2216863.8907713965,447806.50593582215,COST_OPT_75,trajectory
DK,2030,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2030,biomass_boiler,biomass,0.1,5148013.676264716,5823544.882652394,0.0,COST_OPT_75,trajectory
DK,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2030,hp_air,electricity,0.37,19047650.60217945,6198792.828097972,433915.49796685815,COST_OPT_75,trajectory
DK,2030,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2030,district_heat,district_heat,0.49021024,25236090.19765009,26452924.735482275,740681.8925935037,COST_OPT_75,trajectory
DK,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2040,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2040,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2040,hp_air,electricity,0.50978976,25756268.73035777,8185948.61758129,204648.71543953227,COST_OPT_75,trajectory
DK,2040,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2040,district_heat,district_heat,0.49021024,24767046.469927486,25745370.550860174,308944.4466103221,COST_OPT_75,trajectory
DK,2040,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2050,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2050,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2050,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2050,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2050,hp_air,electricity,0.50978976,25069317.108600445,7785502.207639889,38927.511038199445,COST_OPT_75,trajectory
DK,2050,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2050,district_heat,district_heat,0.49021024,24106478.632374123,24852039.827189818,124260.19913594908,COST_OPT_75,trajectory
DK,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
EE,2025,gas_boiler,gas,0.055494451,598520.0795683208,650565.3038786096,131414.19138347913,COST_OPT_75,trajectory
EE,2025,oil_boiler,oil,0.00099990001,10784.145491331461,11982.383879257179,3175.3317280031524,COST_OPT_75,trajectory
EE,2025,biomass_boiler,biomass,0.41175882,4440911.068916745,5046489.851041755,0.0,COST_OPT_75,trajectory
