country,basis,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,ocgt_energy_gwh,h2_energy_gwh,peaker_peak_out_gw,unserved_gwh,lol_hours,reserve_short_gw,objective_eur,status,n_repdays
SE,total_elec,2040,32.89869729279774,1.0,506.05935478,7.724915200900741,686.2221670714,88.8323236210263,584.9396049564,101.28256211499999,7.7249152,2.6807383670001994,3,2.275,228562588.83199742,Optimal,27
SE,total_elec,2050,36.03018390434154,1.0,2750.99526998,10.017311924287357,1062.7476544387,106.09110133248697,901.7552820014,160.9923724373,10.017312,0.5469761684020011,3,1.017,591738580.4712468,Optimal,24
SI,total_elec,2025,2.5736513321133705,0.5,3515.37166027,0.40280535840965004,52.399526301390004,130.08646783715344,47.771028243,4.628498058389999,0.40280536,0.01171211120009992,3,0.051,322368514.1752781,Optimal,60
SI,total_elec,2030,2.9831308749643766,0.5,3788.7012961,0.8120822020951783,277.56385526380996,341.7928068706506,252.41366143015998,25.15019383365,0.8120822,0.0121316076,3,0.072,443391614.45714813,Optimal,144
SI,total_elec,2040,3.7557905601257877,0.5,2613.793044702,1.173377684967098,210.90918610120002,179.74535292710462,191.27314098890002,19.6360451123,1.17337768,0.057400612000000004,3,0.108,360395224.7675933,Optimal,85
SI,total_elec,2050,4.287515876464173,0.5,1903.365037481,1.2759153058514978,82.70779118149999,64.82232073100175,72.62983562119999,10.0779555603,1.2759153,0.0384980693,3,0.107,268246461.318826,Optimal,29
SK,total_elec,2025,4.856176288595887,1.0,2801.3756900877997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,325801266.700988,Optimal,10
SK,total_elec,2030,5.690323833866904,1.0,4104.9661531292095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,578823714.1519028,Optimal,10
SK,total_elec,2040,7.267629127140171,1.5,5108.486448664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.075,759655645.3540682,Optimal,10
SK,total_elec,2050,8.340267701584452,2.0,5814.246630358701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,865957859.7352171,Optimal,10
UK,total_elec,2025,48.26610471833216,37.0,100518.609325399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.85,9253098012.739922,Optimal,10
UK,total_elec,2030,66.31131715231706,35.0,87880.13839079998,13.837077134349187,429.98017286699996,31.074494179093385,389.64243205699995,40.33774081000001,13.8370772,12.416449200001,3,7.966,9614174659.834024,Optimal,10
UK,total_elec,2040,75.47172739255711,27.5,100879.04692352,26.14128312394044,1189.802803925,45.51432300717355,977.062378825,212.74042510000004,26.141284,2.4763431799988016,3,3.838,12880719895.256428,Optimal,14
UK,total_elec,2050,91.35428587960246,20.0,19833.64230471,49.35185924473865,5678.2858756049,115.05718249531311,4938.6082711019,739.6776045029999,49.35186,6.406722897999982,3,6.832,3745272056.075058,Optimal,33
